document,figure,docx_media,reference_artifact,source_code,public_notebook,match_confidence,primary_data_dependency,figure_topic
main,Figure 12,word/media/image19.svg,current_version/updated_figures/Figure12_corrected.png,paper_revision/figure_updates/rebuild_figures_8_12.py; analysis_notebooks/exploratory/check.ipynb,03_main_figures_11_13.ipynb,high,raw BCwave NetCDF,High-pressure Hovmöller diagrams
main,Figure 13,word/media/image21.svg,paper_revision/manuscript/revised/media_from_docx/media/image19.svg,analysis_notebooks/case_studies/casecheck.ipynb; revision_analysis/scripts/r2_2_stationarity_reinterpretation.py,03_main_figures_11_13.ipynb,high,anticyclone overlap masks/tracks,Anticyclone overlap duration
supplement,Figure A1,word/media/image1.png;word/media/image2.png,eddy/controlled_umax30_bns_analysis_20260722/figures/F1a_rwb_theta_lat_environment_by_b.png;eddy/controlled_umax30_bns_analysis_20260722/figures/F1b_original_vs_controlled_ns_group_means.png,eddy/controlled_umax30_bns_analysis_20260722/scripts/build_figure_a1_rwb_cross_sections.py,04_supplement_A_to_C.ipynb,exact_layout,archive and fixed-Umax RWB products,RWB environment and controlled-speed group means
supplement,Figure A2,word/media/image3.png,eddy/controlled_umax30_bns_analysis_20260722/figures/F2_controlled_all45_heatmaps.png,eddy/controlled_umax30_bns_analysis_20260722/scripts/build_umax30_all45_section_f.py,04_supplement_A_to_C.ipynb,exact_layout,controlled response tables,Controlled-speed response matrices
supplement,Figure A3,word/media/image4.png,eddy/controlled_umax30_bns_analysis_20260722/figures/F3_archive_controlled_paired.png,eddy/controlled_umax30_bns_analysis_20260722/scripts/build_umax30_all45_section_f.py,04_supplement_A_to_C.ipynb,exact_layout,controlled response tables,Paired archive/control responses
supplement,Figure A4,word/media/image5.png,eddy/controlled_umax30_bns_analysis_20260722/figures/F4_parameter_spearman_comparison.png,eddy/controlled_umax30_bns_analysis_20260722/scripts/build_umax30_all45_section_f.py,04_supplement_A_to_C.ipynb,exact_layout,controlled response tables,Parameter Spearman associations
supplement,Figure A5,word/media/image6.png,eddy/controlled_umax30_bns_analysis_20260722/original_style_comparison/figures/Figure5_original_vs_controlled_same_style.png,eddy/controlled_umax30_bns_analysis_20260722/original_style_comparison/scripts/make_original_style_comparison_figures.py,04_supplement_A_to_C.ipynb,high,archive/control RWB counts,RWB orientation fractions
supplement,Figure B1,word/media/image7.png,eddy/eddy_full_coalescence_review_analysis_20260723/figures/figure06_case_level_full_eddy_scatter.png,eddy/eddy_full_coalescence_review_analysis_20260723/scripts/aggregate_and_plot.py,04_supplement_A_to_C.ipynb,exact,full/eddy coalescence tables,Full-field versus eddy-SLP case counts
supplement,Figure B2,word/media/image8.png,eddy/eddy_full_coalescence_review_analysis_20260723/figures/figure03_full_eddy_group_trends.png,eddy/eddy_full_coalescence_review_analysis_20260723/scripts/aggregate_and_plot.py,04_supplement_A_to_C.ipynb,exact,full/eddy coalescence tables,Full/eddy grouped trends
supplement,Figure B3,word/media/image9.png,eddy/eddy_full_coalescence_review_analysis_20260723/figures/figure02_eddy_threshold_sensitivity_heatmaps.png,eddy/eddy_full_coalescence_review_analysis_20260723/scripts/aggregate_and_plot.py,04_supplement_A_to_C.ipynb,exact,full/eddy coalescence tables,Eddy-SLP threshold sensitivity
supplement,Figure B4,word/media/image10.png,eddy/eddy_full_coalescence_review_analysis_20260723/figures/figure07_eddy_vorticity_core_outcomes.png,eddy/eddy_full_coalescence_review_analysis_20260723/scripts/aggregate_and_plot.py,04_supplement_A_to_C.ipynb,exact,full/eddy coalescence tables,Vorticity-core outcomes
supplement,Figure B5,word/media/image11.png,eddy/eddy_full_coalescence_review_analysis_20260723/figures/figure11_archive_controlled_full_eddy_four_row_comparison.png,eddy/eddy_full_coalescence_review_analysis_20260723/scripts/aggregate_controlled_full_eddy.py,04_supplement_A_to_C.ipynb,exact,full/eddy coalescence tables,Archive/control full/eddy comparison
supplement,Figure B6,word/media/image12.png,eddy/eddy_full_coalescence_review_analysis_20260723/figures/figure12_controlled_eddy_threshold_sensitivity.png,eddy/eddy_full_coalescence_review_analysis_20260723/scripts/aggregate_controlled_full_eddy.py,04_supplement_A_to_C.ipynb,exact,full/eddy coalescence tables,Controlled eddy-threshold sensitivity
supplement,Figure C1,word/media/image13.png,eddy/rwb_post_onset_analysis_20260722/figures/rwb_full_post_onset_and_rate_by_parameters.png,eddy/rwb_post_onset_analysis_20260722/scripts/build_rwb_post_onset_analysis.py,04_supplement_A_to_C.ipynb,exact,post-onset RWB summary,Post-onset RWB counts and rates
supplement,Figure C2,word/media/image14.png,eddy/rwb_post_onset_analysis_20260722/figures/rwb_post_onset_rate_heatmaps.png,eddy/rwb_post_onset_analysis_20260722/scripts/build_rwb_post_onset_analysis.py,04_supplement_A_to_C.ipynb,exact,post-onset RWB summary,Post-onset RWB rate heatmaps
supplement,Figure D1,word/media/image15.png,paper_revision/supplemental_analysis/figures/r1_12_initial_pv_cross_sections.png,paper_revision/supplemental_analysis/compute_r1_12_initial_pv_cross_sections.py,05_supplement_D_to_G.ipynb,exact,raw initial states,Initial pressure-coordinate PV
supplement,Figure D2,word/media/image16.png,eddy/initial_state_analysis_20260722/figures/initial_cross_sections_b_variation.png,eddy/initial_state_analysis_20260722/scripts/build_initial_state_report_analysis.py,05_supplement_D_to_G.ipynb,exact_layout,initial-state diagnostics,Initial and growth-phase b cross sections
supplement,Figure D3,word/media/image17.png,eddy/initial_state_analysis_20260722/figures/initial_cross_sections_n_s_variations.png,eddy/initial_state_analysis_20260722/scripts/build_initial_state_report_analysis.py,05_supplement_D_to_G.ipynb,exact_layout,initial-state diagnostics,Initial n and s cross sections
supplement,Figure D4,word/media/image18.png,eddy/initial_state_analysis_20260722/figures/initial_predictor_response_correlation_heatmap.png,eddy/initial_state_analysis_20260722/scripts/build_initial_state_report_analysis.py,05_supplement_D_to_G.ipynb,exact_layout,initial-state diagnostics,Predictor-response correlations
supplement,Figure D5,word/media/image19.png,paper_revision/supplemental_analysis/figures/r1_6_zonal_mean_jet_evolution.png,paper_revision/supplemental_analysis/compute_r1_6_zonal_mean_jet_evolution.py,05_supplement_D_to_G.ipynb,exact,raw representative cases,Eulerian zonal-mean jet evolution
supplement,Figure E1,word/media/image20.png;word/media/image21.png;word/media/image22.png;word/media/image23.png;word/media/image24.png;word/media/image25.png;word/media/image26.png;word/media/image27.png;word/media/image28.png;word/media/image29.png,eddy/primary_secondary_first_binary_coalescence_A1_20260725/pages/Figure_A1_primary_secondary_page_01_of_10.png;...page_10_of_10.png,eddy/primary_secondary_first_binary_coalescence_A1_20260725/scripts/build_primary_secondary_A1_atlas.py; eddy/expanded_A1_cyclone_interaction_atlas_20260723/scripts/build_expanded_A1_atlas.py,05_supplement_D_to_G.ipynb,high,atlas manifest; raw/derived PV,Primary-secondary binary-coalescence atlas
supplement,Figure F1,word/media/image30.png,revision_analysis/figures/r2_2_supplementary_lifetime_and_centroid_motion.png,revision_analysis/scripts/r2_2_stationarity_reinterpretation.py,05_supplement_D_to_G.ipynb,exact_layout,anticyclone stationarity metrics/tracks,Anticyclone lifetime and centroid motion
supplement,Figure G1,word/media/image31.png,paper_revision/manuscript/revised/media_from_docx/media/image20.png,analytic initialization code consolidated from legacy reproducibility notebook,05_supplement_D_to_G.ipynb,high,analytic initial-condition parameters,Initial zonal-wind profiles
